uczelnia ,2020/2021 studia magisterskie prowadzone w formie stacjonarnej w języku polskim,2020/2021 studia magisterskie dla cudzoziemców prowadzone w formie stacjonarnej w języku polskim,2020/2021 studia magisterskie prowadzone w formie niestacjonarnej w języka polskim,2020/2021 studia magisterskie prowadzone w formie stacjonarnej lub niestacjonarnej w języku innym niż języku polski,2019/2020 studia magisterskie prowadzone w formie stacjonarnej w języku polskim,2019/2020 studia magisterskie dla cudzoziemców prowadzone w formie stacjonarnej w języku polskim,2019/2020 studia magisterskie prowadzone w formie niestacjonarnej w języka polskim,,2018/2019 studia magisterskie prowadzone w formie stacjonarnej w języku polskim,2018/2019 studia magisterskie dla cudzoziemców prowadzone w formie stacjonarnej w języku polskim,2018/2019 studia magisterskie prowadzone w formie niestacjonarnej w języka polskim,2018/2019 studia magisterskie prowadzone w formie stacjonarnej lub niestacjonarnej w języku innym niż języku polski,2017/2018 studia magisterskie prowadzone w formie stacjonarnej w języku polskim,2017/2018 studia magisterskie dla cudzoziemców prowadzone w formie stacjonarnej w języku polskim,2017/2018 studia magisterskie prowadzone w formie niestacjonarnej w języka polskim,2017/2018 studia magisterskie prowadzone w formie stacjonarnej lub niestacjonarnej w języku innym niż języku polski,2016/2017 studia magisterskie prowadzone w formie stacjonarnej w języku polskim,2016/2017 studia magisterskie dla cudzoziemców prowadzone w formie stacjonarnej w języku polskim,2016/2017 studia magisterskie prowadzone w formie niestacjonarnej w języka polskim,2016/2017 studia magisterskie prowadzone w formie stacjonarnej lub niestacjonarnej w języku innym niż języku polski,2015/2016 studia magisterskie prowadzone w formie stacjonarnej w języku polskim,2015/2016 studia magisterskie dla cudzoziemców prowadzone w formie stacjonarnej w języku polskim,2015/2016 studia magisterskie prowadzone w formie niestacjonarnej w języka polskim,2015/2016 studia magisterskie prowadzone w formie stacjonarnej lub niestacjonarnej w języku innym niż języku polski,2014/2015 studia magisterskie prowadzone w formie stacjonarnej w języku polskim,2014/2015 studia magisterskie dla cudzoziemców prowadzone w formie stacjonarnej w języku polskim,2014/2015 studia magisterskie prowadzone w formie niestacjonarnej w języka polskim,2014/2015 studia magisterskie prowadzone w formie stacjonarnej lub niestacjonarnej w języku innym niż języku polski,2013/2014 studia magisterskie prowadzone w formie stacjonarnej w języku polskim,2013/2014 studia magisterskie dla cudzoziemców prowadzone w formie stacjonarnej w języku polskim,2013/2014 studia magisterskie prowadzone w formie niestacjonarnej w języka polskim,2013/2014 studia magisterskie prowadzone w formie stacjonarnej lub niestacjonarnej w języku innym niż języku polski,2012/2013 studia magisterskie prowadzone w formie stacjonarnej w języku polskim,2012/2013 studia magisterskie dla cudzoziemców prowadzone w formie stacjonarnej w języku polskim,2012/2013 studia magisterskie prowadzone w formie niestacjonarnej w języka polskim,2012/2013 studia magisterskie prowadzone w formie stacjonarnej lub niestacjonarnej w języku innym niż języku polski,2011/2012 studia magisterskie prowadzone w formie stacjonarnej w języku polskim,2011/2012 studia magisterskie dla cudzoziemców prowadzone w formie stacjonarnej w języku polskim,2011/2012 studia magisterskie prowadzone w formie niestacjonarnej w języka polskim,2011/2012 studia magisterskie prowadzone w formie stacjonarnej lub niestacjonarnej w języku innym niż języku polski,2010/2011 studia magisterskie prowadzone w formie stacjonarnej w języku polskim,2010/2011 studia magisterskie dla cudzoziemców prowadzone w formie stacjonarnej w języku polskim,2010/2011 studia magisterskie prowadzone w formie niestacjonarnej w języka polskim,2010/2011 studia magisterskie prowadzone w formie stacjonarnej lub niestacjonarnej w języku innym niż języku polski,2009/2010 studia magisterskie prowadzone w formie stacjonarnej w języku polskim,2009/2010 studia magisterskie dla cudzoziemców prowadzone w formie stacjonarnej w języku polskim,2009/2010 studia magisterskie prowadzone w formie niestacjonarnej w języka polskim,2009/2010 studia magisterskie prowadzone w formie stacjonarnej lub niestacjonarnej w języku innym niż języku polski,2008/2009 studia magisterskie prowadzone w formie stacjonarnej w języku polskim,2008/2009 studia magisterskie dla cudzoziemców prowadzone w formie stacjonarnej w języku polskim,2008/2009 studia magisterskie prowadzone w formie niestacjonarnej w języka polskim,2007/2008
Uniwersytet Medyczny w Białymstoku,184,2,126,126,184,2,90,126,184,2,80,126,184,2,80,126,184,1,46,67,160,1,40,67,160,0,30,67,160,0,30,67,160,0,30,50,160,1,30,67,160,1,30,67,160,4,48,50,160,4,48,brak danych
Collegium Medicum Uniwersytetu Mikołaja Kopernika im. Ludwika Rydygiera w Bydgoszcz,204,5,48,96,204,5,72,72,200,5,64,72,200,5,50,48,200,5,44,48,165,5,30,48,150,5,30,48,150,5,30,48,150,5,30,46,150,5,30,48,160,1,30,24,150,5,30,24,150,5,30,
Gdański Uniwersytet Medyczny,316,6,60,171,316,6,48,171,276,6,72,180,264,6,72,180,264,6,72,180,240,6,72,180,220,6,66,150,220,6,66,150,220,6,66,150,220,6,66,150,220,6,66,150,220,6,66,150,220,6,66,
Śląski Uniwersytet Medyczny w Katowicach,715,5,96,160,690,7,155,164,680,7,185,164,660,7,205,140,650,7,205,140,604,3,190,140,528,3,149,140,515,3,152,90,508,4,130,90,450,1,130,90,450,1,130,90,390,2,100,90,370,2,70,
Collegium Medicum Uniwersytetu Jagiellońskiego w Krakowie,240,5,50,125,240,5,50,125,240,5,50,125,220,5,70,125,220,5,70,120,200,5,60,120,200,5,60,120,200,5,60,120,200,20,60,120,240,15,80,120,240,15,80,110,220,5,70,105,220,5,44,
Uniwersytet Medyczny w Lublinie,330,4,60,180,310,4,70,200,300,4,75,210,286,4,75,210,276,4,75,200,240,4,70,200,230,4,70,180,230,4,70,160,230,4,70,200,230,15,70,200,230,12,70,150,230,12,70,250,230,12,55,
Uniwersytet Medyczny w Łodzi,670,10,100,10,670,15,100,104,630,15,100,104,600,10,100,156,570,10,100,116,510,5,120,96,480,5,120,96,500,5,120,76,490,10,120,72,420,10,120,72,420,10,120,72,300,10,160,130,290,10,87,
Uniwersytet Medyczny im. Karola Marcinkowskiego w Poznaniu,340,2,104,200,340,2,104,200,340,2,96,180,296,2,76,180,275,2,66,180,230,2,46,160,230,2,46,140,220,2,44,140,220,2,44,140,220,2,44,140,200,2,40,140,200,2,40,160,200,10,40,
Pomorski Uniwersytet Medyczny w Szczecinie,250,2,60,140,250,2,20,140,220,2,20,140,220,2,20,140,220,2,20,140,190,2,40,140,180,2,54,130,180,2,54,130,180,2,54,100,180,1,54,100,180,2,54,100,180,0,54,80,180,2,54,
Warszawski Uniwersytet Medyczny,550,12,150,150,550,12,130,150,550,12,180,150,550,12,180,150,550,11,180,150,475,11,180,150,435,13,150,130,412,10,110,130,408,10,100,130,400,11,100,130,392,11,100,130,392,11,80,130,370,12,80,
Uniwersytet Medyczny im. Piastów Śląskich we Wrocławiu,273,17,105,150,266,17,105,150,266,17,105,150,253,16,105,150,253,16,105,150,220,16,90,150,220,16,90,150,220,16,90,150,220,16,45,110,220,16,45,70,220,16,45,60,220,16,45,50,220,16,44,
Uniwersytet Warmińsko-Mazurski w Olsztynie,120,0,0,110,120,0,0,110,120,0,0,110,120,0,0,110,150,0,0,120,100,0,0,100,100,0,0,100,100,0,0,100,100,0,0,80,80,0,0,50,80,0,0,50,80,0,0,0,80,0,0,
Uniwersytet Jana Kochanowskiego w Kielcach,75,6,50,50,75,0,50,50,75,5,50,50,75,5,50,50,75,0,50,30,75,0,50,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uniwersytet Rzeszowski,80,5,50,30,80,0,50,30,90,5,60,30,90,5,60,0,75,0,75,0,60,0,60,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uniwersytet Zielonogórski w Zielonej Górze,60,0,60,0,60,0,60,0,60,0,60,0,60,0,60,0,60,0,60,0,60,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Krakowska Akademia Medyczna im. Andrzeja Frycza Modrzewskiego,125,0,0,125,100,0,0,100,100,0,0,100,100,0,0,100,100,0,0,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uczelnia Łazarskiego w Warszawie,100,0,0,0,90,0,0,0,90,0,0,0,60,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uniwersytet Opolski,120,0,40,0,120,0,40,0,80,0,40,0,60,0,40,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uniwersytet Technologiczno-Humanistyczny im. Kazimierza Pułaskiego w Radomiu,0,0,0,0,100,0,40,0,90,0,40,0,70,0,30,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wyższa Szkoła Techniczna w Katowicach,100,0,40,50,100,0,40,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uniwersytet Kardynała Stefana Wyszyńskiego w Warszawie,120,0,40,0,100,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uczelnia Medyczna im. Marii Skłodowskiej- -Curie w Warszawie ,50,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
